posx1,posx2,posx3,posx4,posx5,posx6,posx7,posx8,posx9,posx10,posx11,posx12,posy1,posy2,posy3,posy4,posy5,posy6,posy7,posy8,posy9,posy10,posy11,posy12,orient1,orient2,orient3,orient4,orient5,orient6,orient7,orient8,orient9,orient10,orient11,orient12,letter1,letter2,letter3,letter4,letter5,letter6,letter7,letter8,letter9,letter10,letter11,letter12,index,direction,row_number,conf
-288,-212,-379,-48,-127,-378,48,211,126,200,295,38,-38,-368,-127,288,202,129,-129,-369,-40,372,121,290,0,90,90,180,270,0,270,90,270,180,180,0,L0.png,L0.png,L0.png,L0.png,L0.png,L0.png,T0.png,L0.png,L0.png,L0.png,L0.png,L0.png,7,right,1,old
-295,-121,-36,-34,-214,-290,381,208,119,381,40,295,-38,-284,-118,295,132,213,-36,-372,-209,376,203,291,180,270,270,0,90,0,270,90,90,0,180,180,L0.png,L0.png,L0.png,L0.png,L0.png,L0.png,L0.png,L0.png,T0.png,L0.png,L0.png,L0.png,9,left,2,old
-116,-39,-206,-125,-294,-46,285,204,376,378,43,289,-294,-34,-368,33,209,117,-41,-213,-286,127,205,292,90,90,0,90,180,180,0,270,270,180,270,0,L0.png,L0.png,L0.png,L0.png,L0.png,L0.png,L0.png,L0.png,L0.png,L0.png,T0.png,L0.png,11,right,3,old
-44,-379,-284,-131,-213,-43,288,211,117,38,128,212,-131,-381,-292,201,130,41,-133,-214,-375,214,125,370,180,0,90,270,270,90,0,270,90,0,180,180,L0.png,L0.png,L0.png,L0.png,L0.png,T0.png,L0.png,L0.png,L0.png,L0.png,L0.png,L0.png,6,left,4,old
-381,-202,-129,-125,-372,-293,374,41,121,288,209,117,-374,-125,-294,282,200,371,-286,-43,-126,373,36,123,90,0,180,270,90,270,0,180,90,180,270,0,L0.png,L0.png,L0.png,L0.png,L0.png,T0.png,L0.png,L0.png,L0.png,L0.png,L0.png,L0.png,6,right,5,old
-207,-296,-41,-299,-43,-126,40,132,299,36,288,211,-214,-286,-41,290,374,131,-37,-295,-216,44,116,370,90,180,270,0,270,90,180,90,0,180,270,0,L0.png,L0.png,L0.png,L0.png,L0.png,L0.png,L0.png,T0.png,L0.png,L0.png,L0.png,L0.png,8,left,6,old
-287,-203,-127,-123,-205,-283,296,120,42,124,373,296,-288,-129,-206,283,200,366,-49,-200,-288,376,287,44,180,0,90,180,270,270,180,90,90,0,270,0,L0.png,L0.png,L0.png,L0.png,T0.png,L0.png,L0.png,L0.png,L0.png,L0.png,L0.png,L0.png,5,right,7,old
-282,-132,-44,-203,-130,-40,38,123,298,202,49,288,-132,-200,-40,296,203,128,-367,-117,-212,210,128,290,90,180,90,270,270,0,180,270,90,0,180,0,L0.png,L0.png,L0.png,L0.png,T0.png,L0.png,L0.png,L0.png,L0.png,L0.png,L0.png,L0.png,5,right,8,old
-39,-117,-368,-42,-127,-201,208,380,123,35,127,380,-295,-207,-122,42,127,372,-368,-288,-118,288,367,42,270,0,90,90,270,180,270,180,180,90,0,0,T0.png,L0.png,L0.png,L0.png,L0.png,L0.png,L0.png,L0.png,L0.png,L0.png,L0.png,L0.png,1,right,9,old
-37,-121,-285,-214,-376,-120,43,204,298,118,296,36,-205,-125,-286,130,380,202,-124,-366,-45,298,41,369,270,90,0,270,0,180,90,270,0,180,90,180,L0.png,L0.png,L0.png,L0.png,L0.png,L0.png,L0.png,T0.png,L0.png,L0.png,L0.png,L0.png,8,right,10,old
-203,-289,-129,-379,-37,-130,367,202,294,203,296,123,-379,-207,-47,43,368,290,-42,-294,-381,284,200,50,180,90,90,0,270,180,270,0,270,0,90,180,L0.png,L0.png,L0.png,L0.png,L0.png,L0.png,L0.png,L0.png,T0.png,L0.png,L0.png,L0.png,9,right,11,old
-44,-296,-212,-212,-46,-119,49,287,125,44,299,203,-368,-47,-202,202,366,122,-118,-297,-42,37,293,211,90,270,180,180,90,0,0,270,270,0,90,180,L0.png,L0.png,L0.png,L0.png,L0.png,L0.png,L0.png,L0.png,T0.png,L0.png,L0.png,L0.png,9,right,12,old
