posx1,posx2,posx3,posx4,posx5,posx6,posx7,posx8,posx9,posx10,posx11,posx12,posy1,posy2,posy3,posy4,posy5,posy6,posy7,posy8,posy9,posy10,posy11,posy12,orient1,orient2,orient3,orient4,orient5,orient6,orient7,orient8,orient9,orient10,orient11,orient12,letter1,letter2,letter3,letter4,letter5,letter6,letter7,letter8,letter9,letter10,letter11,letter12,index,direction,conf,row_number,correct_key
-202,-37,-133,-201,-381,-38,35,298,375,118,208,365,-129,-298,-210,205,119,41,-295,-125,-374,288,40,130,0,180,0,90,270,180,270,90,0,270,90,180,L0.png,L0.png,L0.png,L0.png,L0.png,L0.png,L0.png,L0.png,L0.png,L0.png,T0.png,L0.png,11,left,new,new,right
-283,-215,-119,-35,-286,-209,125,40,376,44,199,290,-202,-48,-289,367,297,125,-380,-298,-124,40,292,124,180,0,90,90,0,90,270,270,270,180,0,180,L0.png,L0.png,L0.png,L0.png,L0.png,L0.png,L0.png,T0.png,L0.png,L0.png,L0.png,L0.png,8,right,new,new,right
-381,-204,-118,-283,-378,-37,37,379,119,204,297,366,-42,-213,-373,201,49,126,-372,-202,-288,375,128,290,0,0,90,180,270,180,90,270,0,180,90,270,L0.png,L0.png,T0.png,L0.png,L0.png,L0.png,L0.png,L0.png,L0.png,L0.png,L0.png,L0.png,3,left,new,new,right
-299,-123,-35,-284,-376,-120,208,291,37,204,48,124,-374,-201,-121,46,292,116,-203,-121,-38,41,376,129,270,180,0,180,270,180,90,90,0,270,90,0,L0.png,L0.png,L0.png,L0.png,L0.png,L0.png,T0.png,L0.png,L0.png,L0.png,L0.png,L0.png,7,left,new,new,right
-37,-378,-295,-285,-44,-380,366,120,40,210,287,130,-117,-371,-294,297,202,37,-48,-378,-213,130,294,372,90,0,180,0,180,270,270,90,270,90,0,180,L0.png,L0.png,L0.png,L0.png,L0.png,L0.png,L0.png,L0.png,T0.png,L0.png,L0.png,L0.png,9,right,new,new,right
-288,-212,-379,-48,-127,-378,48,211,126,200,295,38,-38,-368,-127,288,202,129,-129,-369,-40,372,121,290,0,90,90,180,270,0,270,90,270,180,180,0,L0.png,L0.png,L0.png,L0.png,L0.png,L0.png,T0.png,L0.png,L0.png,L0.png,L0.png,L0.png,7,right,old,,left
-44,-296,-212,-212,-46,-119,49,287,125,44,299,203,-368,-47,-202,202,366,122,-118,-297,-42,37,293,211,90,270,180,180,90,0,0,270,270,0,90,180,L0.png,L0.png,L0.png,L0.png,L0.png,L0.png,L0.png,L0.png,T0.png,L0.png,L0.png,L0.png,9,right,old,,left
-39,-117,-368,-42,-127,-201,208,380,123,35,127,380,-295,-207,-122,42,127,372,-368,-288,-118,288,367,42,270,0,90,90,270,180,270,180,180,90,0,0,T0.png,L0.png,L0.png,L0.png,L0.png,L0.png,L0.png,L0.png,L0.png,L0.png,L0.png,L0.png,1,right,old,,left
-373,-203,-133,-289,-206,-130,36,122,374,289,203,35,-284,-130,-39,46,210,117,-205,-35,-124,214,121,295,90,270,180,270,0,0,90,0,180,270,180,90,L0.png,L0.png,L0.png,L0.png,L0.png,L0.png,L0.png,L0.png,L0.png,L0.png,L0.png,T0.png,12,left,new,new,right
-295,-121,-36,-34,-214,-290,381,208,119,381,40,295,-38,-284,-118,295,132,213,-36,-372,-209,376,203,291,180,270,270,0,90,0,270,90,90,0,180,180,L0.png,L0.png,L0.png,L0.png,L0.png,L0.png,L0.png,L0.png,T0.png,L0.png,L0.png,L0.png,9,left,old,,left
-367,-207,-118,-205,-45,-379,371,42,204,202,292,381,-286,-369,-35,374,47,298,-374,-287,-121,36,209,129,270,270,0,90,90,270,180,0,180,0,90,180,L0.png,T0.png,L0.png,L0.png,L0.png,L0.png,L0.png,L0.png,L0.png,L0.png,L0.png,L0.png,2,right,new,new,right
-380,-121,-215,-45,-282,-380,33,372,124,292,376,123,-370,-210,-38,380,215,288,-36,-126,-369,294,372,42,90,270,0,180,90,270,0,180,90,0,180,270,L0.png,T0.png,L0.png,L0.png,L0.png,L0.png,L0.png,L0.png,L0.png,L0.png,L0.png,L0.png,2,right,new,new,right
-116,-39,-206,-125,-294,-46,285,204,376,378,43,289,-294,-34,-368,33,209,117,-41,-213,-286,127,205,292,90,90,0,90,180,180,0,270,270,180,270,0,L0.png,L0.png,L0.png,L0.png,L0.png,L0.png,L0.png,L0.png,L0.png,L0.png,T0.png,L0.png,11,right,old,,left
-121,-209,-376,-119,-45,-288,36,282,213,43,121,382,-373,-124,-209,202,125,44,-283,-125,-209,284,130,376,180,90,270,90,0,270,0,180,90,270,0,180,L0.png,L0.png,L0.png,L0.png,L0.png,L0.png,L0.png,L0.png,T0.png,L0.png,L0.png,L0.png,9,left,new,new,right
-207,-296,-41,-299,-43,-126,40,132,299,36,288,211,-214,-286,-41,290,374,131,-37,-295,-216,44,116,370,90,180,270,0,270,90,180,90,0,180,270,0,L0.png,L0.png,L0.png,L0.png,L0.png,L0.png,L0.png,T0.png,L0.png,L0.png,L0.png,L0.png,8,left,old,,left
-44,-379,-284,-131,-213,-43,288,211,117,38,128,212,-131,-381,-292,201,130,41,-133,-214,-375,214,125,370,180,0,90,270,270,90,0,270,90,0,180,180,L0.png,L0.png,L0.png,L0.png,L0.png,T0.png,L0.png,L0.png,L0.png,L0.png,L0.png,L0.png,6,left,old,,left
-295,-46,-202,-209,-117,-372,203,285,127,117,287,35,-296,-200,-42,36,376,291,-202,-120,-376,129,43,374,270,0,180,90,180,270,0,90,90,0,270,180,L0.png,L0.png,L0.png,T0.png,L0.png,L0.png,L0.png,L0.png,L0.png,L0.png,L0.png,L0.png,4,left,new,new,right
-378,-129,-213,-214,-37,-378,210,118,48,128,298,216,-118,-293,-45,117,214,287,-47,-289,-117,208,45,288,90,270,90,270,180,180,0,180,90,270,0,0,L0.png,L0.png,L0.png,L0.png,L0.png,L0.png,L0.png,L0.png,T0.png,L0.png,L0.png,L0.png,9,left,new,new,right
-37,-121,-285,-214,-376,-120,43,204,298,118,296,36,-205,-125,-286,130,380,202,-124,-366,-45,298,41,369,270,90,0,270,0,180,90,270,0,180,90,180,L0.png,L0.png,L0.png,L0.png,L0.png,L0.png,L0.png,T0.png,L0.png,L0.png,L0.png,L0.png,8,right,old,,left
-287,-203,-127,-123,-205,-283,296,120,42,124,373,296,-288,-129,-206,283,200,366,-49,-200,-288,376,287,44,180,0,90,180,270,270,180,90,90,0,270,0,L0.png,L0.png,L0.png,L0.png,T0.png,L0.png,L0.png,L0.png,L0.png,L0.png,L0.png,L0.png,5,right,old,,left
-43,-381,-119,-292,-42,-131,212,121,375,289,369,50,-298,-49,-380,124,201,37,-128,-216,-41,292,45,210,180,180,90,270,0,90,270,0,0,270,180,90,L0.png,L0.png,L0.png,T0.png,L0.png,L0.png,L0.png,L0.png,L0.png,L0.png,L0.png,L0.png,4,right,new,new,right
-282,-132,-44,-203,-130,-40,38,123,298,202,49,288,-132,-200,-40,296,203,128,-367,-117,-212,210,128,290,90,180,90,270,270,0,180,270,90,0,180,0,L0.png,L0.png,L0.png,L0.png,T0.png,L0.png,L0.png,L0.png,L0.png,L0.png,L0.png,L0.png,5,right,old,,left
-381,-202,-129,-125,-372,-293,374,41,121,288,209,117,-374,-125,-294,282,200,371,-286,-43,-126,373,36,123,90,0,180,270,90,270,0,180,90,180,270,0,L0.png,L0.png,L0.png,L0.png,L0.png,T0.png,L0.png,L0.png,L0.png,L0.png,L0.png,L0.png,6,right,old,,left
-203,-289,-129,-379,-37,-130,367,202,294,203,296,123,-379,-207,-47,43,368,290,-42,-294,-381,284,200,50,180,90,90,0,270,180,270,0,270,0,90,180,L0.png,L0.png,L0.png,L0.png,L0.png,L0.png,L0.png,L0.png,T0.png,L0.png,L0.png,L0.png,9,right,old,,left
